New Training Session, Net Version 50 ,,,
Epoch, iterations, Running Loss, Lowest Running Loss, Mark Number 
306,999,33319.08984,19767.10547,5
307,999,49640.82813,19767.10547,5
308,999,49058.30859,19767.10547,5
309,999,27078.60547,19767.10547,5
310,999,39847.60938,19767.10547,5
311,999,31576.11719,19767.10547,5
312,999,31637.29492,19767.10547,5
313,999,37009.89453,19767.10547,5
314,999,39566.93359,19767.10547,5
315,999,49619.83984,19767.10547,5
316,999,36987.91797,19767.10547,5
317,999,32517.49805,19767.10547,5
318,999,29432.27148,19767.10547,5
319,999,39205.74609,19767.10547,5
320,999,31400.75586,19767.10547,5
321,999,32707.58008,19767.10547,5
322,999,49101.54688,19767.10547,5
323,999,26475.69922,19767.10547,5
324,999,44447.01953,19767.10547,5
325,999,38911.75391,19767.10547,5
326,999,54132.61328,19767.10547,5
327,999,36713.62891,19767.10547,5
328,999,32450.02539,19767.10547,5
329,999,35772.38672,19767.10547,5
330,999,45910.72656,19767.10547,5
331,999,39654.125,19767.10547,5
332,999,40925.92969,19767.10547,5
333,999,37064.82422,19767.10547,5
334,999,33926.05859,19767.10547,5
335,999,38010.36719,19767.10547,5
336,999,53240.4375,19767.10547,5
337,999,36654.66797,19767.10547,5
338,999,42852.01563,19767.10547,5
339,999,34406.34375,19767.10547,5
340,999,40633.10938,19767.10547,5
341,999,45293.04297,19767.10547,5
342,999,39330.39453,19767.10547,5
343,999,52078.91797,19767.10547,5
344,999,37048.55078,19767.10547,5
345,999,35308.70703,19767.10547,5
346,999,23178.54102,19767.10547,5
347,999,40855.35938,19767.10547,5
348,999,49687.24609,19767.10547,5
349,999,45940.19141,19767.10547,5
350,999,35477.03516,19767.10547,5
351,999,37624.95703,19767.10547,5
352,999,39378.51953,19767.10547,5
353,999,47581.23438,19767.10547,5
354,999,51033.60156,19767.10547,5
355,999,33096.91406,19767.10547,5
356,999,28476.66992,19767.10547,5
357,999,28882.72266,19767.10547,5
358,999,37809.85547,19767.10547,5
359,999,32032.2207,19767.10547,5
360,999,55027.26563,19767.10547,5
361,999,26788.02539,19767.10547,5
362,999,40971,19767.10547,5
363,999,47871.41016,19767.10547,5
364,999,41160.83594,19767.10547,5
365,999,40749.98828,19767.10547,5
366,999,43914.53906,19767.10547,5
367,999,43619.45703,19767.10547,5
368,999,43185.20313,19767.10547,5
369,999,38628.03516,19767.10547,5
370,999,46514.94922,19767.10547,5
371,999,32440.01758,19767.10547,5
372,999,37543.72266,19767.10547,5
373,999,38356.48047,19767.10547,5
374,999,43043.30078,19767.10547,5
375,999,40957.75,19767.10547,5
376,999,38476.28906,19767.10547,5
377,999,38055.90234,19767.10547,5
378,999,48023.20313,19767.10547,5
379,999,29596.00391,19767.10547,5
380,999,48229.0625,19767.10547,5
381,999,34680.55859,19767.10547,5
382,999,37171.11719,19767.10547,5
383,999,23162.48828,19767.10547,5
384,999,39903.45313,19767.10547,5
385,999,39490.11719,19767.10547,5
386,999,29178.20117,19767.10547,5
387,999,35729.99219,19767.10547,5
388,999,43745.83203,19767.10547,5
389,999,38348.57813,19767.10547,5
390,999,45653.78516,19767.10547,5
391,999,39150.46484,19767.10547,5
392,999,42676.98438,19767.10547,5
393,999,32735.90234,19767.10547,5
394,999,33691.91016,19767.10547,5
395,999,40402.98047,19767.10547,5
396,999,38248.26953,19767.10547,5
397,999,35191.21875,19767.10547,5
398,999,35944.51563,19767.10547,5
399,999,41624.14844,19767.10547,5
400,999,46509.20313,19767.10547,5
401,999,27783.42383,19767.10547,5
402,999,51784.92578,19767.10547,5
403,999,52058.69922,19767.10547,5
404,999,46003.15625,19767.10547,5
405,999,58396.80078,19767.10547,5
406,999,34658.28906,19767.10547,5
407,999,31803.48828,19767.10547,5
408,999,50309.96094,19767.10547,5
409,999,38524.72266,19767.10547,5
410,999,32446.65625,19767.10547,5
411,999,41812.1875,19767.10547,5
412,999,35894.03906,19767.10547,5
413,999,38781.55859,19767.10547,5
414,999,45137.97266,19767.10547,5
415,999,41101.41016,19767.10547,5
416,999,60764.75391,19767.10547,5
417,999,41176.57031,19767.10547,5
418,999,65964.9375,19767.10547,5
419,999,35526.37109,19767.10547,5
420,999,53191.48438,19767.10547,5
421,999,35726.625,19767.10547,5
422,999,47118.61328,19767.10547,5
423,999,59457.44141,19767.10547,5
424,999,38821.42188,19767.10547,5
425,999,47817.13281,19767.10547,5
426,999,47855.79688,19767.10547,5
427,999,37883.76563,19767.10547,5
428,999,53651.25781,19767.10547,5
429,999,48384.63281,19767.10547,5
