New Training Session, Net Version 50 
Epoch, iterations, Running Loss, Lowest Running Loss, Mark Number 
75, 999, 133.35336303710938, 68.08893585205078, 2 
76, 999, 111.61810302734375, 68.08893585205078, 2 
77, 999, 143.8582305908203, 68.08893585205078, 2 
78, 999, 106.74392700195312, 68.08893585205078, 2 
79, 999, 143.65322875976562, 68.08893585205078, 2 
80, 999, 115.72518920898438, 68.08893585205078, 2 
81, 999, 106.63514709472656, 68.08893585205078, 2 
82, 999, 124.63934326171875, 68.08893585205078, 2 
83, 999, 125.66488647460938, 68.08893585205078, 2 
84, 999, 96.8988265991211, 68.08893585205078, 2 
85, 999, 88.86341857910156, 68.08893585205078, 2 
86, 999, 169.7798614501953, 68.08893585205078, 2 
87, 999, 154.706787109375, 68.08893585205078, 2 
88, 999, 125.73546600341797, 68.08893585205078, 2 
89, 999, 126.84869384765625, 68.08893585205078, 2 
90, 999, 132.84381103515625, 68.08893585205078, 2 
91, 999, 123.82552337646484, 68.08893585205078, 2 
92, 999, 91.74309539794922, 68.08893585205078, 2 
93, 999, 113.81392669677734, 68.08893585205078, 2 
94, 999, 137.6559600830078, 68.08893585205078, 2 
95, 999, 139.592041015625, 68.08893585205078, 2 
96, 999, 105.6395263671875, 68.08893585205078, 2 
97, 999, 115.77200317382812, 68.08893585205078, 2 
98, 999, 119.71227264404297, 68.08893585205078, 2 
99, 999, 144.7574920654297, 68.08893585205078, 2 
100, 999, 118.66165161132812, 68.08893585205078, 2 
101, 999, 96.69296264648438, 68.08893585205078, 2 
102, 999, 88.89346313476562, 68.08893585205078, 2 
103, 999, 145.55557250976562, 68.08893585205078, 2 
104, 999, 142.652099609375, 68.08893585205078, 2 
105, 999, 151.62310791015625, 68.08893585205078, 2 
106, 999, 145.5048828125, 68.08893585205078, 2 
107, 999, 90.76274108886719, 68.08893585205078, 2 
108, 999, 107.66402435302734, 68.08893585205078, 2 
109, 999, 130.44097900390625, 68.08893585205078, 2 
110, 999, 99.64541625976562, 68.08893585205078, 2 
111, 999, 93.70066833496094, 68.08893585205078, 2 
112, 999, 111.65897369384766, 68.08893585205078, 2 
113, 999, 148.66168212890625, 68.08893585205078, 2 
114, 999, 122.748046875, 68.08893585205078, 2 
115, 999, 124.53523254394531, 68.08893585205078, 2 
116, 999, 159.57550048828125, 68.08893585205078, 2 
